conversation_num,batch_num,round_num,speaker_hash,speaker_nickname,timestamp,message,majority_pct,num_flipped,flipped_pct,num_votes,message_lower_with_punc,positive_bert,negative_bert,neutral_bert,num_words,num_chars,num_messages,info_exchange_zscore_chats,info_exchange_zscore_conversation,discrepancies_lexical_per_100,hear_lexical_per_100,home_lexical_per_100,conjunction_lexical_per_100,certainty_lexical_per_100,inclusive_lexical_per_100,bio_lexical_per_100,achievement_lexical_per_100,adverbs_lexical_per_100,anxiety_lexical_per_100,third_person_lexical_per_100,negation_lexical_per_100,swear_lexical_per_100,death_lexical_per_100,health_lexical_per_100,see_lexical_per_100,body_lexical_per_100,family_lexical_per_100,negative_affect_lexical_per_100,quantifier_lexical_per_100,positive_affect_lexical_per_100,insight_lexical_per_100,humans_lexical_per_100,present_tense_lexical_per_100,future_tense_lexical_per_100,past_tense_lexical_per_100,relative_lexical_per_100,sexual_lexical_per_100,inhibition_lexical_per_100,sadness_lexical_per_100,social_lexical_per_100,indefinite_pronoun_lexical_per_100,religion_lexical_per_100,work_lexical_per_100,money_lexical_per_100,causation_lexical_per_100,anger_lexical_per_100,first_person_singular_lexical_per_100,feel_lexical_per_100,tentativeness_lexical_per_100,exclusive_lexical_per_100,verbs_lexical_per_100,friends_lexical_per_100,article_lexical_per_100,argue_lexical_per_100,auxiliary_verbs_lexical_per_100,cognitive_mech_lexical_per_100,preposition_lexical_per_100,first_person_plural_lexical_per_100,percept_lexical_per_100,second_person_lexical_per_100,positive_words_lexical_per_100,first_person_lexical_per_100,nltk_english_stopwords_lexical_per_100,hedge_words_lexical_per_100,num_question_naive,NTRI,word_TTR,first_pronouns_proportion,function_word_accommodation,content_word_accommodation,mimicry_bert,moving_mimicry,hedge_naive,textblob_subjectivity,textblob_polarity,positivity_zscore_chats,positivity_zscore_conversation,dale_chall_score,dale_chall_classification,time_diff,please,please_start,hashedge,indirect_btw,hedges,factuality,deference,gratitude,apologizing,1st_person_pl,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_greeting,direct_question,direct_start,haspositive,hasnegative,subjunctive,indicative,forward_flow,certainty_rocklage
0,0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20 18:27:20.125000+00:00,hello ,1.0,1,0.333333333,3,hello! ,0.40823483,0.08270366,0.5090615,1,6,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.4558075264799435,1.3062794319331172,0.0496,easy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4.5
0,0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20 18:27:23.764000+00:00,hi,1.0,1,0.333333333,3,hi!,0.417184,0.11042388,0.47239208,1,2,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.8071529513452922,0.8071529513452922,0,0.0,0.0,1.504613407423174,1.353295255938919,0.0496,easy,3.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8071529513452922,4.5
0,0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20 18:27:27.724000+00:00,hello,1.0,1,0.333333333,3,hello,0.40823483,0.08270366,0.5090615,1,5,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.8071529513452922,0.8071529513452922,0,0.0,0.0,1.4558075264799435,1.3062794319331172,0.0496,easy,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9505663992372289,4.5
0,0,0,5d482ea421c9be351f762255,youngLion,2020-04-20 18:27:30.410000+00:00,hi,1.0,1,0.333333333,3,hi,0.417184,0.11042388,0.47239208,1,2,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.8071529513452922,0.8071529513452922,0,0.0,0.0,1.504613407423174,1.353295255938919,0.0496,easy,2.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9113666142146546,4.5
0,0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20 18:27:35.506000+00:00,hi,1.0,1,0.333333333,3,hi,0.417184,0.11042388,0.47239208,1,2,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1,0.0,0.9999999999994162,0.8553647135088231,0,0.0,0.0,1.504613407423174,1.353295255938919,0.0496,easy,5.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9505663492581946,4.5
0,0,0,5d482ea621c9be351f762ae5,culturedBear,2020-04-20 18:28:09.451000+00:00,hello,1.0,1,0.333333333,3,hello,0.40823483,0.08270366,0.5090615,1,5,1,-1.2139100383036903,-1.21444687865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.8071528637014659,0.8457223435473518,0,0.0,0.0,1.4558075264799435,1.3062794319331172,0.0496,easy,33.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.928299668570479,4.5
0,0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20 18:28:20.136000+00:00,i dont think the guy is the ahole thoughts,1.0,1,0.333333333,3,i don't think the guy is the a$$hole. thoughts?,0.012657833,0.7284917,0.2588504,9,42,1,-0.6060598052592908,-0.6395981610622979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.009999999999999998,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.03,0.0,0.019999999999999997,0.0,0.019999999999999997,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.039999999999999994,0.0,1,0,0.8888888888888888,0.1111111111111111,0,0.0,0.040093580721296235,0.7114508830763425,0,0.0,0.0,-0.7015415706388769,-0.7719444113613494,0.44639999999999996,easy,10.685,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.06798209741503888,5.4399999999999995
0,0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20 18:28:28.501000+00:00,so who thinks the guy is an ass for asking his mother in law to learn english,1.0,1,0.333333333,3,so who thinks the guy is an ass for asking his mother in law to learn english,0.009269983,0.74221885,0.24851115,17,77,1,0.17546192294065138,0.09949304727635748,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.049999999999999996,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0,0,1.0,0.0,2,0.16666666666666666,0.32588090467445074,0.656369457590358,0,0.0,0.0,-0.7200178096368538,-0.7897429959628326,0.8432,easy,8.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.12502121313266545,4.5
0,0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20 18:28:30.530000+00:00,i think that this person is not an asshole because according to him he was very polite while approaching the issue,1.0,1,0.333333333,3,"i think that this person is not an asshole because, according to him, he was very polite while approaching the issue",0.23436387,0.14188239,0.6237537,21,114,1,0.4359691656739655,0.34585678338924264,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.019999999999999997,0.0,0.009999999999999998,0.019999999999999997,0.0,0.0,0.0,0.029999999999999995,0.019999999999999997,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.0,0.0,0.009999999999999998,0.029999999999999995,0.0,0.019999999999999997,0.009999999999999998,0.019999999999999997,0.039999999999999994,0.009999999999999998,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.13999999999999999,0.0,0,0,1.0,0.047619047619047616,4,0.0,0.2931582918435074,0.6109680618720016,0,0.15,0.1,0.507571503111824,0.39282193195493104,1.0415999999999999,easy,2.029,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.149277863344256,6.036666666666666
0,0,0,5d482ea421c9be351f762255,youngLion,2020-04-20 18:28:30.637000+00:00,i can see how the family is upset because they feel the mother was disrespected but i can also understand the guys feelings why should he have to work as interpreter for his mother in law,1.0,1,0.333333333,3,i can see how the family is upset because they feel the mother was disrespected but i can also understand the guy's feelings. why should he have to work as interpreter for his mother in law?,0.006887499,0.8102295,0.18288301,36,187,1,1.6516696317627644,1.4955542185827064,0.01,0.0,0.01,0.05,0.0,0.0,0.0,0.01,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.030000000000000006,0.01,0.0,0.0,0.04,0.01,0.06999999999999999,0.01,0.01,0.01,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.01,0.0,0.030000000000000006,0.0,0.02,0.02,0.0,0.01,0.09,0.0,0.030000000000000006,0.02,0.06000000000000001,0.1,0.04,0.0,0.030000000000000006,0.0,0.01,0.02,0.22,0.0,1,0,0.8611111111111112,0.05555555555555555,8,0.03278688524590164,0.27816004463465904,0.5739893932900747,0,0.0,0.0,-0.7330111073899587,-0.8022597375646391,2.224211111111111,easy,0.107,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.12595382794055265,4.5
